Title,Authors,Publisher,Date_of_published,Short_Description,ISBN_13,Total_pages,Categories,Language,Published_listprice,Max_retailprice,Adore_current_price,Adore_original_price,Adore_rating
A Promise of Peridot,Kate Golden,Hachette UK,2024-04-11,"&#39;If I could give more stars, I absolutely would . . . fast paced, angsty, raw, and funny&#39; ⭐⭐⭐⭐⭐ &#39;This has been my favourite series I&#39;ve ever read right next to ACOTAR&#39; ⭐⭐⭐⭐⭐ &#39;The characters come to life in a way that is ...",9781529434071,454,Fiction,English,1178.82,589.41,589.41,589.41,3.439987575067302
A Day of Fallen Night,Samantha Shannon,Bloomsbury Publishing,2023-02-28,"**THE NUMBER ONE BESTSELLER** &#39;A magnificent, sweeping epic&#39; JENNIFER SAINT, Sunday Times-bestselling author of ARIADNE &#39;Shannon is simply a master of the genre&#39; C. S. PACAT, New York Times-bestselling author of DARK RISE &#39;A tremendous ...",9781526663351,881,Fiction,English,479.0,335.3,645.0,899.0,5.0
Here Lie All the Boys Who Broke My Heart,Emma Simmerman,Simon and Schuster,2026-02-03,"This book was one heck of a ride’ ‘The perfect blend of mystery and suspense, with a hint of romance’ ‘I don&#39;t think I have ever read a book so fast in my entire life’ ‘Had everything from messy characters, quick banter, mystery ...",9781398550896,323,Fiction,English,263.14,184.2,184.2,184.2,3.439987575067302
A Gentleman in Moscow,Amor Towles,Random House,2017-01-09,"OVER 4 MILLION COPIES SOLD A Showtime/Paramount+ series starring Ewan McGregor as Count Alexander Rostov From the number one New York Times-bestselling author, a beautifully transporting novel about a man who is ordered to spend the rest of ...",9781448135509,547,Fiction,English,441.61,309.13,309.13,309.13,3.439987575067302
A House Without Windows,Nadia Hashimi,HarperCollins,2016-08-16,"A vivid, unforgettable work of women’s fiction and the story of an unlikely sisterhood—an emotionally powerful and haunting tale of friendship that illuminates the plight of women in a traditional culture—from the author of the ...",9780062449665,336,Fiction,English,559.67,279.84,279.84,279.84,3.439987575067302
A Kingdom of Flesh and Fire,Jennifer L. Armentrout,Blue Box Press,2020-09-01,From #1 New York Times bestselling author Jennifer L. Armentrout comes a new novel in her Blood and Ash series… Is Love Stronger Than Vengeance?,9781952457104,703,Fiction,English,954.67,954.67,449.0,999.0,1.0
A Short History of the World,H. G. Wells,"Cosimo, Inc.",2005-12-01,"Wells asks that you read this hefty 1922 work-adapted from his two-volume Outline of History, published in 1920-&quot;straightforwardly almost as a novel is read,&quot; and indeed, this story of Earth, from its very formation and the first appearance ...",9781596055858,477,History,English,549.0,275.0,275.0,275.0,3.2666666666666666
A Little Life,Instaread,Instaread,2016-01-25,A Little Life by Hanya Yanagihara | Summary &amp; Analysis Preview: A Little Life by Hanya Yanagihara tells the story of Jude St. Francis and the people in his life.,9781944195670,23,Fiction,English,549.0,275.0,299.0,799.0,2.0
A Love Letter To Whiskey,Kandi Steiner,VAJONA Verlag,2024-01-11,"Kandi Steiner. Jamies Abschlussfeier am Strand losgelassen hatte, waren wieder aufgetaucht, und jetzt waren sie hier, überwogen in meinem Kopf und warteten darauf, dass ich sie ansprach. Ich wünschte mir sehnlichst eine Badewanne, denn ...",9783757991524,408,Fiction,German,759.33,379.66,379.66,379.66,3.439987575067302
A Manual of Hindu Astrology (Correct Casting of Horoscopes), B. V. Raman,Motilal Banarsidass Publishing House,2025-09-22,"... The other part of our mind is waiting to emerge from within . It waits for the right time to emerge , and if it doesn&#39;t find the right opportunity , it is bound to come up in your dreams . The mind always works both ways dialectically . If ...",9789359661452,545,"Body, Mind & Spirit",English,354.0,247.8,247.8,247.8,3.25
A Million Kisses In Your Lifetime,Monica Murphy,Random House,2022-08-11,DISCOVER THE DEEPLY ROMANTIC AND UNFORGETTABLE TIKTOK SENSATION THAT WILL GRIP YOU UNTIL THE VERY LAST PAGE &#39;Wren and Crew stole my heart and neither of them will give it back. I cannot explain how much I adore this story . . .,9781405955577,402,Fiction,English,384.68,269.28,205.0,699.0,5.0
A New Earth,Eckhart Tolle,Penguin UK,2009-01-01,A New Earth is waiting for you. _________ &#39;Life-changing&#39; Caroline Hirons &#39;I&#39;m gonna have to listen to [this podcast] several times! Too good!&#39; Fearne Cotton on the &#39;Oprah and Eckhart Tolle: A New Earth&#39; podcast &#39;This book changed my life.,9780141908762,240,"Body, Mind & Spirit",English,349.57,244.7,244.7,244.7,3.25
A Passage to India,E M Forster,Hachette UK,2011-06-09,"Forster&#39;s classic novel, with a new introduction by Kamila Shamsie, author of Home Fire, winner of the Women&#39;s Prize for Fiction &#39;There&#39;s no writer better than Forster at portraying the genuine feelings that are born from the interaction ...",9781444728811,455,Fiction,English,997.1,498.55,498.55,498.55,3.439987575067302
A Perfect Day to be Alone,Nanae Aoyama,Hachette UK,2024-05-09,"I hope we have more translations from this author ASAP, she is super talented! As is the translator!&quot; ***** &quot;A Perfect Day to Be Alone by Nanae Aoyama blew me away utterly and completely&quot; ***** Translated from the Japanese by Jesse Kirkwood",9781529427691,126,Fiction,English,466.1,326.27,326.27,326.27,3.439987575067302
A Poem for Every Spring Day,Allie Esiri,Pan Macmillan,2021-02-04,"Perfect for reading aloud and sharing with all the family, this book dazzles with an array of familiar favourites and remarkable new discoveries.",9781529063479,355,Juvenile Nonfiction,English,560.78,280.39,280.39,280.39,4.555555555555555
A Psalm for the Wild-Built,Becky Chambers,Tordotcom,2021-07-13,"Winner of the Hugo Award! In A Psalm for the Wild-Built, bestselling Becky Chambers&#39;s delightful new Monk and Robot series, gives us hope for the future.",9781250236227,104,Fiction,English,1326.29,663.14,663.14,663.14,3.439987575067302
A Radical Awakening,Shefali Tsabary,Hachette UK,2021-05-18,"This is an eloquent and inspiring, practical and accessible book, backed with real-life examples and personal stories, that unlocks the extraordinary power necessary to awaken the conscious self.",9781529371468,394,Self-Help,English,743.4,371.7,349.0,799.0,1.0
A Year of Miracles,Marianne Williamson,Harper Collins,2013-12-31,"Beautiful daily practices from the #1 New York Times bestselling author Marianne Williamson – preorder her latest, The Mystic Jesus, picking up where A Return to Love left off In A Year of Miracles, Marianne Williamson, world-renowned ...",9780062205520,391,Self-Help,English,1056.35,528.18,528.18,528.18,3.0136986301369864
Forever on the Bay,Lee Tobin McClain,HQN Books,2022-04-26,The Off Season Book 1: Cottage at the Beach Book 2: Reunion at the Shore Book 3: Christmas on the Coast Book 4: Home to the Harbor Book 5: First Kiss at Christmas Book 6: Forever on the Bay Book 7: Second Chance on the Chesapeake Book 8: ...,9780369703682,306,Fiction,English,501.18,250.59,250.59,250.59,3.439987575067302
